screen_name,user_key,label_binary,split,has_text_model,n_text_tweets
mihanimarzban03,mihanimarzban03,0,train,1,9
siaayrom,siaayrom,1,train,1,1
miladpoureisa,miladpoureisa,0,train,1,1
fairghh,fairghh,0,train,1,37
kaykhosrow5,kaykhosrow5,0,train,1,50
nimania,nimania,0,train,1,3
Khosrowalikord2,khosrowalikord2,0,train,1,1
Rayan9717,rayan9717,0,train,1,7
amin1917,amin1917,0,train,1,8
Najibnaik,najibnaik,0,train,1,1
neo_pahlavism1,neo_pahlavism1,1,train,1,21
IRANIAZAD140,iraniazad140,1,train,1,20
ebrahimi_mazyar,ebrahimi_mazyar,0,train,1,50
kouroch7,kouroch7,0,train,1,50
ab_ganji,ab_ganji,0,train,1,1
HirAn_irani,hiran_irani,0,train,1,50
GhorbaniiNiyak,ghorbaniiniyak,0,train,1,10
LadyJusticeIran,ladyjusticeiran,0,train,1,10
limondar0,limondar0,0,train,1,28
shirkhaan69,shirkhaan69,0,train,1,14
Behzadhamrahi,behzadhamrahi,0,train,1,5
Ivar_lathbrug2,ivar_lathbrug2,0,train,1,50
Majidirani99,majidirani99,0,train,1,46
Mooniter,mooniter,0,train,1,1
irandokht_20,irandokht_20,0,train,1,33
MohammadSigari,mohammadsigari,0,train,1,1
LocallAndia,locallandia,0,train,1,50
ba262626,ba262626,0,train,1,5
DarkSheepRise,darksheeprise,0,train,1,1
The_Doonald,the_doonald,1,train,1,3
Sonofthebeach22,sonofthebeach22,0,train,1,16
Ted_homan1361,ted_homan1361,0,train,1,1
amiretemadi,amiretemadi,0,train,1,2
milaniabbas,milaniabbas,1,train,1,1
DanaMehraban,danamehraban,0,train,1,21
Fakhravar,fakhravar,0,train,1,2
Azadlavasani,azadlavasani,0,train,1,5
adam_hesabi1,adam_hesabi1,0,train,1,8
TonyFreeman2015,tonyfreeman2015,0,train,1,10
merlin_a_h,merlin_a_h,0,train,1,50
shadisadr,shadisadr,0,train,1,2
RadmehrSiavash,radmehrsiavash,0,train,1,1
rasulbajelan,rasulbajelan,0,train,1,9
ali_bitarafan5,ali_bitarafan5,0,train,1,1
iraj63569385,iraj63569385,0,train,1,50
mard_meshki,mard_meshki,0,train,1,4
ArteshAriamehr,arteshariamehr,0,train,1,50
darwinsabouri,darwinsabouri,0,train,1,1
Tanha_5566,tanha_5566,0,train,1,14
kayvanabbassi,kayvanabbassi,0,train,1,1
LiberalArtist00,liberalartist00,0,train,1,2
IranNewsAgency0,irannewsagency0,1,train,1,50
Zimmermann____,zimmermann____,1,train,1,50
nastaran8888,nastaran8888,1,train,1,16
dariush2023,dariush2023,1,train,1,13
shirinkhanomam,shirinkhanomam,0,train,1,1
amirmoghadam_ir,amirmoghadam_ir,0,train,1,1
aminkhss,aminkhss,0,train,1,1
alinaghi2018,alinaghi2018,0,train,1,16
SushyanPahlavi,sushyanpahlavi,0,train,1,50
protester0101,protester0101,0,train,1,2
shino_sdch,shino_sdch,0,train,1,28
kasrakarimi3,kasrakarimi3,0,train,1,50
FAZEL_TWT,fazel_twt,0,train,1,1
agha_xavier2,agha_xavier2,0,train,1,29
Awat_Baggio,awat_baggio,0,train,1,10
itshamedfard,itshamedfard,0,train,1,48
hardseltzerr,hardseltzerr,0,train,1,2
Moradian_ir,moradian_ir,0,train,1,1
arash_tehran,arash_tehran,0,train,1,5
YasiPatriot,yasipatriot,0,train,1,50
AlinejadMasih,alinejadmasih,0,train,1,2
CemalK25777Cema,cemalk25777cema,1,train,1,50
brgsht8970,brgsht8970,0,train,1,9
RealPersianGod,realpersiangod,0,train,1,33
ArdavanMofid,ardavanmofid,0,train,1,4
HananyaPersian,hananyapersian,0,train,1,12
EboshiJasmine,eboshijasmine,0,train,1,8
golberg2582,golberg2582,1,train,1,50
MayraYazdari,mayrayazdari,0,train,1,3
AccuracyHHM,accuracyhhm,0,train,1,50
RADOCLUB,radoclub,0,train,1,30
Ftmh_zhra_jnde,ftmh_zhra_jnde,0,train,1,12
MadariSarzamin,madarisarzamin,0,train,1,5
hadint83,hadint83,0,train,1,1
keykemiveyi,keykemiveyi,1,train,1,50
Nasim_zephyr,nasim_zephyr,1,train,1,50
FAli1969,fali1969,0,train,1,21
PanteaRasouli,pantearasouli,1,train,1,26
firstzorba1,firstzorba1,0,train,1,16
kouli2017,kouli2017,0,train,1,1
Reddington_LA,reddington_la,0,train,1,38
jalilparsi,jalilparsi,0,train,1,4
HosseinAshtarii,hosseinashtarii,0,train,1,2
shooresh57,shooresh57,0,train,1,50
vajname,vajname,0,train,1,1
ANUBIS_GOD2,anubis_god2,0,train,1,50
Aramofen,aramofen,0,train,1,50
ViemonX,viemonx,0,train,1,50
roshanak_ast,roshanak_ast,0,train,1,5
amir41355273,amir41355273,1,train,1,50
Arrested_voice,arrested_voice,0,train,1,50
mohammadd4456,mohammadd4456,0,train,1,1
MohammadSaam_M,mohammadsaam_m,0,train,1,1
GhassemiAbi,ghassemiabi,0,train,1,50
Me_Unstoppable2,me_unstoppable2,0,train,1,9
pouriazeraati,pouriazeraati,0,train,1,3
TaraMedric,taramedric,0,train,1,29
BardiaGarshasbi,bardiagarshasbi,0,train,1,21
fcpii_official,fcpii_official,0,train,1,4
aliemamiofnyc,aliemamiofnyc,0,train,1,27
KFravahar,kfravahar,0,train,1,50
yebekhe,yebekhe,0,train,1,2
Hosein_Golzar75,hosein_golzar75,1,train,1,1
Scorpionofiran1,scorpionofiran1,0,train,1,2
Bermooda1380739,bermooda1380739,1,train,1,50
lexi__princess,lexi__princess,0,train,1,10
Iranaryan2579,iranaryan2579,0,train,1,50
NaghmeL,naghmel,1,train,1,50
_Hassan_sabbah_,_hassan_sabbah_,0,train,1,1
trollsiasi,trollsiasi,0,train,1,50
oshtb,oshtb,0,train,1,50
IRAANBAAN,iraanbaan,1,train,1,50
BELOVEDIRAAAAN,belovediraaaan,0,train,1,2
artesh_shah,artesh_shah,0,train,1,50
BB_Goal,bb_goal,1,train,1,27
Mahizadyaar,mahizadyaar,0,train,1,32
cpiparty,cpiparty,0,train,1,2
azadsocial_,azadsocial_,0,train,1,1
siavosh48,siavosh48,0,train,1,6
koteh_bamishi,koteh_bamishi,0,train,1,3
Jo5x8HaTcF3o5Px,jo5x8hatcf3o5px,0,train,1,50
mrhosein00,mrhosein00,0,train,1,5
baaarzaaakh,baaarzaaakh,0,train,1,19
yYh8x5hC6nxh1Wd,yyh8x5hc6nxh1wd,1,train,1,26
mabi182,mabi182,0,train,1,20
GreyWol08482159,greywol08482159,1,train,1,4
L0mpan,l0mpan,0,train,1,50
georg_patriot,georg_patriot,0,train,1,18
jabijoon26588,jabijoon26588,1,train,1,50
adam_hesabi,adam_hesabi,0,train,1,50
LawdanBazargan,lawdanbazargan,1,train,1,1
ssaallaar,ssaallaar,1,train,1,10
Delban_Sa,delban_sa,0,train,1,6
realfarid7,realfarid7,0,train,1,1
Nilgonbanoo,nilgonbanoo,0,train,1,4
Tymsar2578,tymsar2578,1,train,1,1
Im_zhozefin,im_zhozefin,0,train,1,4
shahira60210003,shahira60210003,1,train,1,50
mohammadsoltann,mohammadsoltann,0,train,1,1
ariyaii_rahjoo,ariyaii_rahjoo,0,train,1,11
esmaeilion,esmaeilion,0,train,1,1
atheistChild789,atheistchild789,0,train,1,5
keyonek1,keyonek1,0,train,1,1
HegeI_javan,hegei_javan,0,train,1,50
netvand,netvand,0,train,1,3
LadiKhanom,ladikhanom,0,train,1,1
Sssccpp,sssccpp,0,train,1,5
Kourosh634,kourosh634,1,train,1,50
ahampay,ahampay,0,train,1,18
iraj_mesdaghi,iraj_mesdaghi,1,train,1,1
enferadi_shode,enferadi_shode,0,train,1,50
RezaRez11109331,rezarez11109331,1,train,1,39
chehre3521,chehre3521,0,train,1,10
nazanin7,nazanin7,0,train,1,50
proudlypersian1,proudlypersian1,0,train,1,50
RufusBeyn,rufusbeyn,1,train,1,2
starbombaIR,starbombair,0,train,1,28
Bob00033791,bob00033791,0,train,1,3
pasargadguard,pasargadguard,0,train,1,50
mandela08940434,mandela08940434,0,train,1,1
hoda2728,hoda2728,0,train,1,50
PanteaPeyvandi,panteapeyvandi,0,train,1,50
afshari_aku,afshari_aku,0,train,1,4
mehdimmj,mehdimmj,0,train,1,1
shahii1984,shahii1984,0,train,1,35
javadsimin,javadsimin,0,train,1,1
6njeli,6njeli,0,train,1,15
hajmaameed,hajmaameed,0,train,1,2
rezayyyyyyy,rezayyyyyyy,0,train,1,9
megamaniran,megamaniran,1,train,1,2
HosseinGhatib,hosseinghatib,0,train,1,1
Mard62881776,mard62881776,0,train,1,30
RezaVaisi,rezavaisi,0,train,1,1
eliiranabad,eliiranabad,1,train,1,17
JananKhorram,janankhorram,0,train,1,50
IranImmortals,iranimmortals,0,train,1,7
Baranaryaee2,baranaryaee2,1,train,1,50
king_fishpoet,king_fishpoet,0,train,1,50
NapelOn_daii,napelon_daii,0,train,1,50
jwd06342045,jwd06342045,0,train,1,11
sohrab_siyavosh,sohrab_siyavosh,1,train,1,50
5anazazana5,5anazazana5,0,train,1,6
Bahram2541,bahram2541,0,train,1,8
upuouo,upuouo,1,train,1,15
voltaireiran,voltaireiran,0,train,1,50
AkhoondeMorde,akhoondemorde,0,train,1,41
Sadaf__12,sadaf__12,0,train,1,1
Bachejirjirak,bachejirjirak,0,train,1,30
Ffarhad7412,ffarhad7412,1,train,1,50
aokurucz,aokurucz,1,train,1,50
Gard_e_Javidan,gard_e_javidan,0,train,1,50
sirous15,sirous15,1,train,1,50
REZAKH__,rezakh__,0,train,1,2
Sheyda_RI,sheyda_ri,0,train,1,5
alirzadabir,alirzadabir,0,train,1,1
nafasjan903269,nafasjan903269,0,train,1,1
SiamakGhassemi,siamakghassemi,0,train,1,1
Aryammehr_2,aryammehr_2,0,train,1,50
farshadeashour,farshadeashour,0,train,1,5
Sheina__,sheina__,0,train,1,1
kharmagas_UK,kharmagas_uk,0,train,1,2
akhtar1989,akhtar1989,0,train,1,7
max_mad777,max_mad777,0,train,1,7
Baran27922,baran27922,0,train,1,50
margbar3fased,margbar3fased,0,train,1,12
Alireza7553,alireza7553,0,train,1,11
prime_factor_,prime_factor_,0,train,1,2
Arad60292050,arad60292050,1,train,1,50
rezatorkamand,rezatorkamand,0,train,1,46
kharkhali,kharkhali,0,train,1,12
samirkh1389,samirkh1389,1,train,1,6
drfalahatpishe,drfalahatpishe,0,train,1,1
Bahar00452227,bahar00452227,0,train,1,1
HichkasOfficial,hichkasofficial,0,train,1,1
aalchaa,aalchaa,0,train,1,5
sasanrahimpour1,sasanrahimpour1,1,train,1,50
zootopiazz,zootopiazz,0,train,1,3
inventor_kevin,inventor_kevin,0,train,1,50
PeaceHappyJoy,peacehappyjoy,0,train,1,38
Iraneshghal,iraneshghal,1,train,1,12
AhmadySetareh,ahmadysetareh,0,train,1,4
BehzadZara,behzadzara,1,train,1,37
hamidsanati6661,hamidsanati6661,0,train,1,25
ryaniran,ryaniran,0,train,1,1
Mahnush_A,mahnush_a,0,train,1,50
Peleja11,peleja11,1,train,1,24
Ansari_Bahman,ansari_bahman,0,train,1,2
Kamran99575602,kamran99575602,0,train,1,50
Iranistics_UT,iranistics_ut,0,train,1,2
Lilium52709755,lilium52709755,0,train,1,1
NaaserXA,naaserxa,0,train,1,5
KamranMatin,kamranmatin,0,train,1,1
AliAlimartin893,alialimartin893,0,train,1,50
crissss_sh,crissss_sh,1,train,1,1
vahid__bahman,vahid__bahman,0,train,1,6
Behrouzjt,behrouzjt,0,train,1,4
Tondbad3,tondbad3,1,train,1,3
KarimSnowman,karimsnowman,1,train,1,1
ZananFirouzehie,zananfirouzehie,1,train,1,10
mahrokh19726311,mahrokh19726311,0,train,1,50
bardi1980,bardi1980,0,train,1,14
IRAN_javid863,iran_javid863,0,train,1,50
TahsinZhaleh,tahsinzhaleh,0,train,1,50
tanhatak5112,tanhatak5112,0,train,1,3
samadiHosein,samadihosein,1,train,1,4
chawshin_83,chawshin_83,0,train,1,2
omiddana19,omiddana19,0,train,1,3
NikiPatriot,nikipatriot,0,train,1,50
AmirHadiAnvari,amirhadianvari,0,train,1,2
AmiinMosavii94,amiinmosavii94,0,train,1,1
YRnESzv9zRLIXuQ,yrneszv9zrlixuq,0,train,1,50
IraniMamoka,iranimamoka,0,train,1,39
mirakh838,mirakh838,0,train,1,1
Camel6561,camel6561,0,train,1,50
khalaji_mehdi,khalaji_mehdi,0,train,1,1
R0tterdamer,r0tterdamer,0,train,1,2
FereydounJRL,fereydounjrl,0,train,1,3
atheistcyrus,atheistcyrus,0,train,1,50
Ario1401,ario1401,0,train,1,50
Adlin_SheHulk,adlin_shehulk,0,train,1,50
Diiyako_ir,diiyako_ir,0,train,1,41
ketn7912,ketn7912,0,train,1,13
AliZolg85051503,alizolg85051503,1,train,1,20
abdolah_abdi,abdolah_abdi,0,train,1,3
Chetoriarzeshi,chetoriarzeshi,0,train,1,7
BobbyHeravi,bobbyheravi,0,train,1,6
ANTYTHEZIS,antythezis,0,train,1,25
Iran_Mehr_2016,iran_mehr_2016,0,train,1,1
ServinPooryamin,servinpooryamin,0,train,1,50
runykeyoldpics,runykeyoldpics,0,train,1,3
bashirtash,bashirtash,0,train,1,1
CheNahaara,chenahaara,0,train,1,50
persepolis78,persepolis78,0,train,1,5
ImNotMarsh,imnotmarsh,1,train,1,1
yaamaashitaa,yaamaashitaa,0,train,1,50
searusM,searusm,0,train,1,5
baharr_ali,baharr_ali,0,train,1,1
king_Sarab47,king_sarab47,0,train,1,1
GenJahanbani,genjahanbani,1,train,1,3
EghbaliBabak,eghbalibabak,0,train,1,3
Forouzandy,forouzandy,0,train,1,4
RezaS49,rezas49,0,train,1,42
homeyramis,homeyramis,0,train,1,50
Sho_Ber_5,sho_ber_5,0,train,1,36
Fariba60867811,fariba60867811,0,train,1,4
sedaye_mardoom,sedaye_mardoom,0,train,1,2
BabakShekarabi,babakshekarabi,0,train,1,31
morrysafi,morrysafi,0,train,1,12
flexcr7,flexcr7,0,train,1,2
estemnayi1,estemnayi1,0,train,1,1
BParnian1,bparnian1,0,train,1,34
fuzakeruna16,fuzakeruna16,0,train,1,4
LisaDaftari,lisadaftari,0,train,1,3
siamakfarid,siamakfarid,0,train,1,1
Verethragnan,verethragnan,0,train,1,50
israelrouydad,israelrouydad,0,train,1,50
aryaieeasil,aryaieeasil,0,train,1,41
HiwaTubeAI2,hiwatubeai2,1,train,1,50
AngelOnDuty06,angelonduty06,1,train,1,50
hadinik,hadinik,0,train,1,1
saman_sarraf,saman_sarraf,0,train,1,50
foster_spar,foster_spar,0,train,1,1
california123AA,california123aa,0,train,1,50
suuoozanam,suuoozanam,0,train,1,4
shahnazteherani,shahnazteherani,0,train,1,5
gh0lch0magh,gh0lch0magh,0,train,1,1
ariamehr104,ariamehr104,0,train,1,16
rahe_AZADI_5,rahe_azadi_5,1,train,1,50
iranaxis,iranaxis,0,train,1,1
Alighazizade,alighazizade,0,train,1,1
saeed_akbari39,saeed_akbari39,1,train,1,50
policenama1401,policenama1401,0,train,1,14
Pirooz25372,pirooz25372,0,train,1,50
pirozzzzzzzzz,pirozzzzzzzzz,0,train,1,50
ShawnaAzad2,shawnaazad2,0,train,1,8
majidfallah11,majidfallah11,0,train,1,9
arezoubehrang_,arezoubehrang_,0,train,1,50
MehranShirazii,mehranshirazii,0,train,1,50
IranianArts,iranianarts,0,train,1,1
SHAYA9000,shaya9000,1,train,1,18
SamanArbabi,samanarbabi,0,train,1,1
PIISHGOO,piishgoo,1,train,1,2
kalaq666,kalaq666,1,train,1,14
BeniSabti,benisabti,0,train,1,3
Katierebel2nd,katierebel2nd,1,train,1,50
HosseiniRouzbeh,hosseinirouzbeh,0,train,1,30
ArminNavabi,arminnavabi,0,train,1,1
Nasrinrose1,nasrinrose1,0,train,1,2
simurgh2580,simurgh2580,0,train,1,19
steveimcqueen,steveimcqueen,0,train,1,50
H_2Arya,h_2arya,0,train,1,11
mohammad2zab,mohammad2zab,0,train,1,1
imdearie2,imdearie2,0,train,1,50
Persian_picture,persian_picture,0,train,1,12
golrokhiraee,golrokhiraee,0,train,1,1
abelbalb,abelbalb,0,train,1,1
sanazazanas,sanazazanas,0,train,1,11
VidaSarafraz,vidasarafraz,0,train,1,50
KathyMobarez,kathymobarez,1,train,1,50
marianmeyer0,marianmeyer0,1,train,1,15
hossein_d15,hossein_d15,0,train,1,1
MardomakOnline,mardomakonline,0,train,1,10
AriaOmid,ariaomid,0,train,1,3
Parvin965631051,parvin965631051,1,train,1,4
PahlaviahoraeeP,pahlaviahoraeep,1,train,1,50
LakLak_Muzik,laklak_muzik,0,train,1,1
sadeghZibakalam,sadeghzibakalam,0,train,1,1
BamdadPirouzi,bamdadpirouzi,1,train,1,50
MohajranIran,mohajraniran,0,train,1,16
hadimehrane1,hadimehrane1,0,train,1,2
SabaBakhtyari,sababakhtyari,0,train,1,10
RustaMasoud,rustamasoud,0,train,1,23
ardeshir1387,ardeshir1387,0,train,1,34
onlymuratt,onlymuratt,0,train,1,6
AbiDel23952698,abidel23952698,0,train,1,8
iman_inj,iman_inj,0,train,1,4
honarparvar2020,honarparvar2020,0,train,1,3
Ebne_noah,ebne_noah,0,train,1,38
IranLionness,iranlionness,0,train,1,1
Benyami1980,benyami1980,1,train,1,2
Shirzad1968,shirzad1968,0,train,1,33
shaheen_ir,shaheen_ir,0,train,1,1
hightesla,hightesla,1,train,1,3
Saeed48920740,saeed48920740,1,train,1,3
BugsBuny90,bugsbuny90,0,train,1,50
nooralitoon,nooralitoon,0,train,1,2
trumppersia,trumppersia,0,train,1,7
F7_Arash,f7_arash,0,train,1,2
SalmanSima,salmansima,0,train,1,10
shayan_shahnazi,shayan_shahnazi,0,train,1,50
____ROHI____,____rohi____,0,train,1,10
Tondar1985,tondar1985,0,train,1,50
hosseintajik07,hosseintajik07,1,train,1,15
Arashir22142540,arashir22142540,0,train,1,6
Ariaroshangar,ariaroshangar,1,train,1,15
dkhos,dkhos,0,train,1,1
hassanshariatm5,hassanshariatm5,0,train,1,1
amoopoya,amoopoya,0,train,1,42
ProSHaHansHaaHi,proshahanshaahi,0,train,1,5
JashniMitra,jashnimitra,0,train,1,35
eisa_1355,eisa_1355,0,train,1,1
zarin_farzad,zarin_farzad,0,train,1,4
ordinaryman1980,ordinaryman1980,0,train,1,31
chamli69,chamli69,0,train,1,3
dariush25371,dariush25371,0,train,1,1
Safa_8863,safa_8863,0,train,1,50
Pedar_Bozorgggg,pedar_bozorgggg,0,train,1,6
NoushaEshghi,noushaeshghi,0,train,1,50
Omidam_Hamin,omidam_hamin,0,train,1,4
JahangirTaban,jahangirtaban,0,train,1,6
DamDami,damdami,0,train,1,1
RageAndHope,rageandhope,0,train,1,2
obeydzacany,obeydzacany,1,train,1,50
Nickkhoo_arash,nickkhoo_arash,0,train,1,1
EbneHava,ebnehava,0,train,1,1
BehrouzBoochani,behrouzboochani,0,train,1,1
Baraye_Azadi_,baraye_azadi_,0,train,1,50
sazanist40,sazanist40,0,train,1,1
majid53866855,majid53866855,1,train,1,4
Haleh_Panzer,haleh_panzer,0,train,1,47
Samar_Iran,samar_iran,0,train,1,7
UomoMees,uomomees,0,train,1,50
ggehhry2,ggehhry2,0,train,1,50
MasoudSlii,masoudslii,0,train,1,1
IrBozorg,irbozorg,0,train,1,4
mostafaa_karimi,mostafaa_karimi,0,train,1,1
SaiedehSaideh59,saiedehsaideh59,0,train,1,50
KambizGhafouri,kambizghafouri,0,train,1,1
MehdiHajati,mehdihajati,0,train,1,5
jiar06731264,jiar06731264,1,train,1,23
D0wn_Under,d0wn_under,0,train,1,1
GolestanParsa,golestanparsa,0,train,1,11
BarfiiIran,barfiiiran,1,train,1,50
IranPlateau1,iranplateau1,1,train,1,50
A_Jafarzadeh,a_jafarzadeh,0,train,1,1
AliAghell,aliaghell,0,train,1,2
Neda73Neda,neda73neda,0,train,1,50
Marie36822764,marie36822764,1,train,1,50
mahistan,mahistan,0,train,1,31
parwaz22,parwaz22,0,train,1,35
MahmoudZibaie,mahmoudzibaie,0,train,1,3
sedaye_iran,sedaye_iran,0,train,1,8
saba_khoi,saba_khoi,0,train,1,50
Peroz401939762,peroz401939762,0,train,1,50
MajidH44995071,majidh44995071,1,train,1,25
0mhp037,0mhp037,0,train,1,1
Schahrzad_b,schahrzad_b,0,train,1,17
mery202120,mery202120,0,train,1,26
Masad75405681,masad75405681,1,train,1,8
KhatibiOfficial,khatibiofficial,0,train,1,1
smjm1972,smjm1972,1,train,1,27
Rezahashemi1919,rezahashemi1919,1,train,1,39
MasIoob,masioob,0,train,1,3
Me_Hamed_Myself,me_hamed_myself,0,train,1,3
pegah_shirazi,pegah_shirazi,0,train,1,10
Havin_N5,havin_n5,1,train,1,1
ToukaNeyestani,toukaneyestani,0,train,1,2
FaranakAzad1,faranakazad1,0,train,1,50
naslsokhteh60,naslsokhteh60,0,train,1,26
iran_vdt,iran_vdt,0,train,1,50
navidi49,navidi49,0,train,1,50
green_Amir,green_amir,0,train,1,11
SARBAZEH_VATAN1,sarbazeh_vatan1,0,train,1,7
frarandeh,frarandeh,1,train,1,10
Radman2576,radman2576,0,train,1,7
young_sheldon1,young_sheldon1,0,train,1,2
Malusakam,malusakam,0,train,1,50
roshangarnasl,roshangarnasl,0,train,1,1
navidmajd11,navidmajd11,0,train,1,50
AliHamid27,alihamid27,0,train,1,9
__Injaneb96,__injaneb96,0,train,1,3
hzarkesh,hzarkesh,0,train,1,4
mahdieh_golroo,mahdieh_golroo,0,train,1,1
Amooamirkhan,amooamirkhan,1,train,1,6
AntiProp_aganda,antiprop_aganda,0,train,1,6
AliReza_Hafezi1,alireza_hafezi1,1,train,1,1
Bahar_e_Azadi,bahar_e_azadi,0,train,1,1
abornaei,abornaei,0,train,1,2
_AshkAval_,_ashkaval_,0,train,1,42
quietgirl7319,quietgirl7319,0,train,1,1
jalovemila,jalovemila,1,train,1,50
pahlavikhah43,pahlavikhah43,1,train,1,50
patrick_jane77,patrick_jane77,0,train,1,7
mahboubeh_mdi,mahboubeh_mdi,0,train,1,16
satggin,satggin,0,train,1,50
SHAHIAVID,shahiavid,1,train,1,9
With_pahlavi3,with_pahlavi3,1,train,1,18
Rppress0,rppress0,1,train,1,50
saramobarez1,saramobarez1,1,train,1,50
Miss_Maropelle,miss_maropelle,0,train,1,7
Silmaethdante,silmaethdante,0,train,1,1
DarGoldan2,dargoldan2,0,train,1,18
Nastaran9638495,nastaran9638495,1,train,1,50
LoabatK,loabatk,0,train,1,2
vahid_esmaeilii,vahid_esmaeilii,0,train,1,5
soheili84,soheili84,0,train,1,50
Mayekhal,mayekhal,0,train,1,50
Mr20228,mr20228,1,train,1,14
SinaToossi,sinatoossi,0,train,1,1
Roshanaeii,roshanaeii,0,train,1,12
lnahalllnahall,lnahalllnahall,1,train,1,1
darushirani13,darushirani13,1,train,1,50
Addison77866447,addison77866447,0,train,1,50
parand____,parand____,0,train,1,6
2EXPvZWQ7LLPX4P,2expvzwq7llpx4p,0,train,1,3
hs_maryam,hs_maryam,0,train,1,8
memarsadeghi,memarsadeghi,0,train,1,1
mollah,mollah,0,train,1,8
Sashtyani,sashtyani,0,train,1,3
hastyarrr,hastyarrr,0,train,1,50
daystar98173834,daystar98173834,1,train,1,50
aghachurchill,aghachurchill,0,train,1,14
DrShehabP,drshehabp,0,train,1,34
YarabAydad,yarabaydad,1,train,1,33
Angel71as,angel71as,0,train,1,1
azarbayjanX,azarbayjanx,0,train,1,1
kamalpishvandi,kamalpishvandi,0,train,1,7
Farbodahmadi880,farbodahmadi880,0,train,1,1
omid_AV2,omid_av2,1,train,1,2
Medinfo_X,medinfo_x,0,train,1,4
hambastegi,hambastegi,0,train,1,5
twittbirds7,twittbirds7,1,train,1,8
bernoam,bernoam,0,train,1,2
majidazarpey,majidazarpey,0,train,1,1
NaeimehDoustdar,naeimehdoustdar,0,train,1,1
sababagherii,sababagherii,0,train,1,4
MashinMonee,mashinmonee,1,train,1,3
shararehtalaeii,shararehtalaeii,0,train,1,50
