user_key,label_binary,has_graph,split
peacehappyjoy,0,0,train
iraneshghal,1,0,train
ahmadysetareh,0,0,train
behzadzara,1,0,train
hamidsanati6661,0,0,train
ryaniran,0,1,train
mahnush_a,0,0,train
peleja11,1,1,train
ansari_bahman,0,1,train
kamran99575602,0,0,train
iranistics_ut,0,0,train
lilium52709755,0,1,train
naaserxa,0,1,train
kamranmatin,0,0,train
alialimartin893,0,0,train
crissss_sh,1,0,train
vahid__bahman,0,1,train
behrouzjt,0,0,train
tondbad3,1,1,train
karimsnowman,1,0,train
zananfirouzehie,1,0,train
mahrokh19726311,0,0,train
bardi1980,0,0,train
iran_javid863,0,0,train
tahsinzhaleh,0,1,train
tanhatak5112,0,1,train
samadihosein,1,1,train
chawshin_83,0,0,train
omiddana19,0,0,train
nikipatriot,0,0,train
amirhadianvari,0,0,train
amiinmosavii94,0,0,train
yrneszv9zrlixuq,0,0,train
iranimamoka,0,0,train
mirakh838,0,0,train
camel6561,0,0,train
khalaji_mehdi,0,1,train
r0tterdamer,0,0,train
fereydounjrl,0,0,train
atheistcyrus,0,1,train
ario1401,0,1,train
adlin_shehulk,0,1,train
diiyako_ir,0,0,train
ketn7912,0,1,train
alizolg85051503,1,0,train
abdolah_abdi,0,1,train
chetoriarzeshi,0,0,train
bobbyheravi,0,0,train
antythezis,0,1,train
iran_mehr_2016,0,0,train
servinpooryamin,0,0,train
runykeyoldpics,0,0,train
bashirtash,0,1,train
chenahaara,0,0,train
persepolis78,0,0,train
imnotmarsh,1,0,train
yaamaashitaa,0,0,train
searusm,0,0,train
baharr_ali,0,0,train
king_sarab47,0,0,train
genjahanbani,1,0,train
eghbalibabak,0,0,train
forouzandy,0,0,train
rezas49,0,0,train
homeyramis,0,0,train
sho_ber_5,0,0,train
fariba60867811,0,1,train
sedaye_mardoom,0,0,train
babakshekarabi,0,0,train
morrysafi,0,0,train
flexcr7,0,0,train
estemnayi1,0,0,train
bparnian1,0,1,train
fuzakeruna16,0,0,train
lisadaftari,0,0,train
siamakfarid,0,0,train
verethragnan,0,0,train
israelrouydad,0,0,train
aryaieeasil,0,1,train
hiwatubeai2,1,0,train
angelonduty06,1,0,train
hadinik,0,0,train
saman_sarraf,0,1,train
foster_spar,0,1,train
california123aa,0,0,train
suuoozanam,0,0,train
shahnazteherani,0,1,train
gh0lch0magh,0,1,train
ariamehr104,0,0,train
rahe_azadi_5,1,0,train
iranaxis,0,1,train
alighazizade,0,0,train
saeed_akbari39,1,0,train
policenama1401,0,0,train
pirooz25372,0,0,train
pirozzzzzzzzz,0,0,train
shawnaazad2,0,0,train
majidfallah11,0,0,train
arezoubehrang_,0,0,train
mehranshirazii,0,0,train
iranianarts,0,1,train
shaya9000,1,0,train
samanarbabi,0,0,train
piishgoo,1,0,train
kalaq666,1,0,train
benisabti,0,0,train
katierebel2nd,1,0,train
hosseinirouzbeh,0,1,train
arminnavabi,0,0,train
nasrinrose1,0,1,train
simurgh2580,0,0,train
steveimcqueen,0,0,train
h_2arya,0,0,train
mohammad2zab,0,0,train
imdearie2,0,0,train
persian_picture,0,0,train
golrokhiraee,0,0,train
abelbalb,0,1,train
sanazazanas,0,0,train
vidasarafraz,0,1,train
kathymobarez,1,0,train
marianmeyer0,1,0,train
hossein_d15,0,0,train
mardomakonline,0,0,train
ariaomid,0,0,train
parvin965631051,1,1,train
pahlaviahoraeep,1,1,train
laklak_muzik,0,0,train
sadeghzibakalam,0,1,train
bamdadpirouzi,1,0,train
mohajraniran,0,1,train
hadimehrane1,0,0,train
sababakhtyari,0,0,train
rustamasoud,0,1,train
ardeshir1387,0,0,train
onlymuratt,0,0,train
abidel23952698,0,1,train
iman_inj,0,0,train
honarparvar2020,0,1,train
ebne_noah,0,0,train
iranlionness,0,0,train
benyami1980,1,0,train
shirzad1968,0,0,train
shaheen_ir,0,1,train
hightesla,1,0,train
saeed48920740,1,1,train
bugsbuny90,0,0,train
nooralitoon,0,1,train
trumppersia,0,0,train
f7_arash,0,0,train
salmansima,0,0,train
shayan_shahnazi,0,1,train
____rohi____,0,0,train
tondar1985,0,0,train
hosseintajik07,1,0,train
arashir22142540,0,0,train
ariaroshangar,1,0,train
dkhos,0,0,train
hassanshariatm5,0,1,train
amoopoya,0,0,train
proshahanshaahi,0,0,train
jashnimitra,0,0,train
eisa_1355,0,1,train
zarin_farzad,0,0,train
ordinaryman1980,0,1,train
chamli69,0,0,train
dariush25371,0,0,train
safa_8863,0,1,train
pedar_bozorgggg,0,0,train
noushaeshghi,0,1,train
omidam_hamin,0,0,train
jahangirtaban,0,0,train
damdami,0,0,train
rageandhope,0,0,train
obeydzacany,1,0,train
nickkhoo_arash,0,0,train
ebnehava,0,1,train
behrouzboochani,0,1,train
baraye_azadi_,0,0,train
sazanist40,0,1,train
majid53866855,1,0,train
haleh_panzer,0,0,train
samar_iran,0,0,train
uomomees,0,1,train
ggehhry2,0,1,train
masoudslii,0,0,train
irbozorg,0,0,train
mostafaa_karimi,0,0,train
saiedehsaideh59,0,1,train
kambizghafouri,0,1,train
mehdihajati,0,1,train
jiar06731264,1,0,train
d0wn_under,0,1,train
golestanparsa,0,0,train
barfiiiran,1,1,train
iranplateau1,1,1,train
a_jafarzadeh,0,0,train
aliaghell,0,0,train
neda73neda,0,0,train
marie36822764,1,0,train
mahistan,0,1,train
parwaz22,0,0,train
mahmoudzibaie,0,0,train
sedaye_iran,0,0,train
saba_khoi,0,1,train
peroz401939762,0,0,train
majidh44995071,1,0,train
0mhp037,0,0,train
schahrzad_b,0,1,train
mery202120,0,0,train
masad75405681,1,1,train
khatibiofficial,0,0,train
smjm1972,1,0,train
rezahashemi1919,1,0,train
masioob,0,1,train
me_hamed_myself,0,1,train
pegah_shirazi,0,0,train
havin_n5,1,0,train
toukaneyestani,0,1,train
faranakazad1,0,0,train
naslsokhteh60,0,0,train
iran_vdt,0,0,train
navidi49,0,0,train
green_amir,0,0,train
sarbazeh_vatan1,0,0,train
frarandeh,1,0,train
radman2576,0,0,train
young_sheldon1,0,1,train
malusakam,0,0,train
roshangarnasl,0,0,train
navidmajd11,0,0,train
alihamid27,0,1,train
__injaneb96,0,0,train
hzarkesh,0,0,train
mahdieh_golroo,0,0,train
amooamirkhan,1,0,train
antiprop_aganda,0,0,train
alireza_hafezi1,1,0,train
bahar_e_azadi,0,0,train
abornaei,0,0,train
_ashkaval_,0,0,train
quietgirl7319,0,0,train
jalovemila,1,0,train
pahlavikhah43,1,0,train
patrick_jane77,0,0,train
mahboubeh_mdi,0,0,train
satggin,0,0,train
shahiavid,1,0,train
with_pahlavi3,1,0,train
rppress0,1,0,train
saramobarez1,1,0,train
miss_maropelle,0,0,train
silmaethdante,0,0,train
dargoldan2,0,0,train
nastaran9638495,1,1,train
loabatk,0,1,train
vahid_esmaeilii,0,1,train
soheili84,0,0,train
mayekhal,0,0,train
mr20228,1,0,train
sinatoossi,0,1,train
roshanaeii,0,0,train
lnahalllnahall,1,1,train
darushirani13,1,0,train
addison77866447,0,0,train
parand____,0,1,train
2expvzwq7llpx4p,0,0,train
hs_maryam,0,1,train
memarsadeghi,0,0,train
mollah,0,0,train
sashtyani,0,1,train
hastyarrr,0,1,train
daystar98173834,1,0,train
aghachurchill,0,0,train
drshehabp,0,1,train
yarabaydad,1,0,train
angel71as,0,0,train
azarbayjanx,0,0,train
kamalpishvandi,0,0,train
farbodahmadi880,0,1,train
omid_av2,1,1,train
medinfo_x,0,0,train
hambastegi,0,0,train
twittbirds7,1,0,train
bernoam,0,0,train
majidazarpey,0,1,train
naeimehdoustdar,0,1,train
sababagherii,0,0,train
mashinmonee,1,0,train
shararehtalaeii,0,1,train
hekasrehcrisis,0,0,train
mazdakbamdadan2,0,0,train
iranariyayi64,1,0,train
mojtabanikoo,0,0,train
koroshcr7,1,1,train
mhrdadbarandaz3,1,1,train
aplcarolinedr,0,0,train
mahnazshirali,0,1,train
far_yaddd,0,0,train
arianarian00,0,0,train
hhellfireeeeee,0,0,train
seedhossein2111,0,0,train
shaheenchevv,0,0,train
mashrotehorg,0,0,train
nemo_regnum,1,0,train
ali49781135,1,1,train
ariamehhr,0,0,train
mehr_mihan,0,1,train
nasehmohi,1,0,train
aazadian2005,1,0,train
sfaeze_alavi,0,0,train
roobahyab1,0,1,train
freedom_of_ir,0,0,train
cameronbehzadi,0,0,train
rosebuddonkhoan,0,0,train
safaidarya,0,0,train
soleymaniazadeh,1,0,train
azadchakavak,0,0,train
freeman010,1,1,train
sangtarash_azad,0,1,train
pahlavi_yasmine,1,1,train
iran_farda1,0,0,train
gohareshghi,1,0,train
matinkhaledii,0,0,train
2tosgzcfj8vtsjk,0,0,train
shah_parast_k,1,0,train
sheykhbabar2,0,0,train
jooldooz,0,0,train
lishaghayeghli,0,0,train
nargesfnd,0,0,train
tomasshellllby,0,0,train
shdelfan,0,0,train
libertyiranian,0,1,train
naslesookhtehh,0,0,train
javidshah0000,1,0,train
007mi00,0,0,train
dawnandthex,0,0,train
leiliii27,0,0,train
beevan88,1,0,train
persiangw,0,0,train
x4lirez4x,0,0,train
omidkt62,0,1,train
kiarashfarasat1,0,0,train
saeid_555555,1,1,train
m_ojmal,0,1,train
djhastammoho,0,0,train
iranzad_98,1,1,train
itisbatgirl,0,0,train
liberti2022,0,0,train
remisgp,0,1,train
haniiiissss1387,0,0,train
yaldarod,0,1,train
mojgan07798961,0,0,train
powerpeople_,0,1,train
iran22851566,1,0,train
amiriysara,0,1,train
jc_constantine1,1,0,train
ddsbobby,0,0,train
tanha59977799,1,1,train
santamorte00,0,0,train
artemizshahdokh,0,0,train
cowboy_datoboy,0,1,train
javidaniranema,0,0,train
nahidghani,0,1,validation
house_md11,0,0,validation
arezoo_8060,0,0,validation
matador_khaste,0,0,validation
cryptosamz,0,1,validation
leila_arya2,1,0,validation
arman1828ex,0,1,validation
talaye738,1,0,validation
777masiha,1,0,validation
k_mostafavi,0,1,validation
matmat1389,0,0,validation
action4ir,0,0,validation
siahylashkar,0,0,validation
mbshahnaz,0,0,validation
interchapga,0,0,validation
giv2021,1,1,validation
janevatan,0,1,validation
tinabakhshi,0,0,validation
salarvan_vahid,0,0,validation
ervin_dearcelo2,0,1,validation
akhis_pakhis2,0,0,validation
pesarrrr,1,0,validation
derafshkavianee,0,0,validation
maximreza3,0,0,validation
nav11dd,1,1,validation
arsha45914097,0,0,validation
rbehrouzdo,0,1,validation
farashgardii02,0,0,validation
__h59__,0,0,validation
yaarghadimi,1,0,validation
c5gbnjtysfychmr,1,0,validation
iranianplateau,0,0,validation
siavashiran,0,0,validation
revolution_r_,0,1,validation
jm_pensylvani,0,0,validation
sourenasanto,0,0,validation
tanhayektiger,0,1,validation
asbeatash45,1,1,validation
yekta52341478,0,0,validation
haghgooie,0,1,validation
antipantork1,1,0,validation
potypto,0,1,validation
_mendeleev,0,0,validation
sedsia,0,0,validation
hesamorouji,0,0,validation
mashmolak,1,0,validation
nfreeiran2022,0,0,validation
hooman__khalili,0,0,validation
b2kaveh,0,0,validation
kalavanisamad,0,0,validation
arianmutter,0,0,validation
balochestan1422,0,0,validation
nezha_9515,1,0,validation
zanesharghi1358,0,0,validation
detahmineh,0,0,validation
sinnerlondon,0,0,validation
nesbyat,0,0,validation
mr_yousefi_,0,0,validation
naeimshahi_nima,0,0,validation
imamtoosi,0,1,validation
azarthepersian,0,1,validation
maryan1810,0,0,validation
hatisred,0,0,validation
pahlavireza,0,1,validation
serpicoo3,0,0,validation
sooreboz,0,0,validation
shahinmajelan,0,0,validation
ardeshir005,0,0,validation
malin54449388,0,1,validation
sepahani,0,0,validation
nr2oh,0,0,validation
hila1363,0,1,validation
eelkhan1,0,1,validation
omid_133a,0,0,validation
pk20333999,1,0,validation
mehrdadbkhtiari,0,0,validation
farshidbabaei18,0,0,validation
chobin_pahlavi,0,0,validation
azadehkhorasan,0,1,validation
mryazdan,0,1,validation
imbeatreas,0,1,validation
rosaparto,0,1,validation
ybensnkr888,0,0,validation
mohamad43059166,1,0,validation
giti544,0,0,validation
elhamomidvari,0,0,validation
tanha1358,0,0,validation
kingmaziyar,1,0,validation
parysatis_banoo,0,1,validation
saraghavamian,0,0,validation
kamangir_133,0,1,validation
rahimy166,0,0,validation
bidari60,0,0,validation
lightofrev,0,0,validation
foadshams,0,1,validation
tinaghazimorad,0,1,validation
rasoulipour,0,0,validation
afshinellian1,0,0,validation
dadylongleggpv,0,0,validation
irantehran401,0,0,validation
reza__soleimani,0,1,validation
18mandana,1,0,validation
rrghadi01,0,1,validation
pahlavikourosh,0,0,validation
parinaz_etsm,0,0,validation
officialsimin,0,0,validation
lily92874373,1,0,validation
calling_parisa,0,0,validation
mahsa_piraei,0,0,validation
scharllinn,0,0,validation
siavashshahy,1,0,validation
kiaabi444,0,0,validation
antiamoonim,0,0,validation
tanhatarin00,1,0,validation
_jese_pinkman,0,0,validation
asgharsepehri,0,1,validation
maryamsarabii,0,0,validation
sepiedhia,0,1,validation
aminbehroozi2,0,0,validation
baran_mehr36,1,1,validation
parsaghobadi123,0,1,validation
pahlavi3vom,1,0,validation
ayayatollahi,0,0,validation
ehsanism,0,0,validation
shayanx0,1,1,validation
qaaaasem,0,0,validation
jbehieh,0,1,validation
farbodarian,0,1,validation
hosein40122106,0,0,validation
iqazaal,0,0,validation
venus133333,1,0,validation
drkopii,0,1,validation
hashemasa,1,1,validation
hiwatubeai,1,0,validation
ariamehraaron,1,0,validation
raha_b_e_1,1,1,validation
beni_ta1,0,0,validation
shahbanoufarah,0,0,validation
zagros1402,0,0,validation
arash87kamangir,0,0,validation
seyedmuostafa,0,0,validation
esmailpour_m,0,1,validation
asadi222mehrdad,0,1,validation
1fe0h6rofed6h0p,1,0,validation
rezaahmadi_lion,0,1,test
fereidonfz,0,0,test
koruosh2023,0,0,test
rezasensourfree,0,0,test
hosseinla1,0,0,test
mitra_jashni,0,1,test
shahinnajafi80,0,0,test
nationalist101,1,1,test
osyangary,0,1,test
milad_aghai1,0,0,test
saiedshemirani,0,0,test
pahlavirezacpar,0,0,test
kaveh_shirzad,0,0,test
muradydiako,0,1,test
hasanakevazir1,0,1,test
mojtabapacino,0,0,test
kolmar_kolmar,0,1,test
mostafamehraeen,0,1,test
hsheibanyrad,0,0,test
knbhgfk,0,0,test
historyinpik,0,0,test
shortfairy809,0,1,test
alasht_iran,0,0,test
thesittinggav,1,0,test
parpanchi,0,1,test
simin223316966,0,0,test
mahenoghre,0,0,test
trdigrade,0,0,test
iranologyscty,0,0,test
hojjat_kalashi,0,1,test
fardad200,0,0,test
faribadavodi,0,0,test
cilia1919,0,1,test
pnmd1982,0,0,test
pizza_facey,0,0,test
klaus70268175,0,0,test
monarchy34,1,1,test
projectleononx,0,0,test
off734,1,1,test
aliebrahimzade_,0,1,test
goftaniha,0,0,test
azihastam1,0,1,test
mahii_to,1,0,test
simonederayeh,0,0,test
sattarkhan121,1,1,test
banuyetehrani,1,0,test
nemiphos,0,0,test
re1001za,0,0,test
asoupar,0,0,test
radmanirani,0,0,test
khodn98,0,0,test
marytabanejad,0,0,test
jamesdeanufo,0,0,test
soroush_mary,1,0,test
charchism,0,0,test
samanthairani,0,1,test
rayehe_rabi,0,0,test
mnz1033,0,1,test
dadkhahim,1,0,test
majid_ranjbaran,0,0,test
ariavatanpour,0,1,test
arteemis60,1,0,test
bahar__bahari,0,0,test
mosolchi,0,0,test
itsgisou,0,0,test
arsh9933,0,0,test
ardeshiramiri,0,0,test
mchok7,0,1,test
samsarbazvatan,1,0,test
mohadeseh1133,0,0,test
alirezakiani2,0,0,test
mrhiccup42,0,0,test
anitabakt,1,0,test
rahaforever4you,1,0,test
farzanehaghaei,0,0,test
pegahan__,0,0,test
tinafay1978,1,0,test
kasraaarabi,0,1,test
iran33k,0,0,test
masoodbabapoor,0,0,test
sandisodoleh,1,0,test
iranwire,0,1,test
liwooom,0,0,test
yalnizkartal041,1,0,test
amardiyamm,0,0,test
kazeroonkings,1,0,test
iranianwoman,0,0,test
emen43054466,1,0,test
koroshariae2021,0,0,test
benyamin_sadr,0,0,test
m_rahmanifar,0,1,test
sunlight__white,0,0,test
maryam_rajavi_p,0,0,test
partneremma,0,1,test
shahdadh59,0,0,test
yasmin4freedom,0,0,test
apasserby12,0,0,test
arhamel2,0,1,test
iran_misazamat,1,0,test
the_leoleeny,0,0,test
parhamramin,0,0,test
niko123niki,0,0,test
alex47778556934,0,1,test
negannegan55,0,1,test
f_mohajerani,0,1,test
shahin56802127,0,0,test
fahimehkhezr,0,1,test
farvahar2023,0,0,test
achaemenid2582,0,0,test
memar1982,0,0,test
hoorieh81,1,1,test
unknownproteste,0,0,test
ariafarpoori,0,1,test
maj_mohammadi,1,0,test
barayeiran9,0,0,test
naderifar,0,1,test
frank_1929,0,0,test
iamzeus6,0,0,test
ayazi_kamran,1,0,test
parsi27871,0,1,test
chahdortt,0,0,test
secular_d,0,0,test
pro_pahlavi,1,0,test
ghoreishir,1,0,test
mikhake_noqrehi,1,0,test
0dzisitpiinteke,0,0,test
zhina2019,1,0,test
sepehrihamed,0,0,test
sghasseminejad,0,1,test
fereshtehgilaki,0,0,test
abdorezaahmadi,0,1,test
iranianpappppi3,0,0,test
nejatbahrami,0,1,test
rezak121212,0,1,test
leiluniran,0,0,test
charlychaplin25,1,1,test
unikador,0,0,test
shauntoub,0,1,test
homan_you,0,0,test
goodbadatusa,0,1,test
zhiyan_shah,0,0,test
mahsa8659,0,0,test
fuxy_twite,0,0,test
alale26361947,1,0,test
