user_key,prob_human,prob_bot,pseudo_label,confidence
arashhero3,1.0,3.8084885e-08,0,1.0
persepolis_1963,0.9999994,6.4667034e-07,0,0.9999994
i24news_he,1.0845768e-08,1.0,1,1.0
sfarokhy98658,0.99999976,2.6118386e-07,0,0.99999976
injusticesgod,0.99999976,2.1730395e-07,0,0.99999976
tb8685729550661,0.99999976,2.463687e-07,0,0.99999976
callmeiran01,1.0,2.0627482e-11,0,1.0
esfandyaran2,0.9999999,9.7792565e-08,0,0.9999999
aseman01287446,1.0,5.959813e-09,0,1.0
siyahroz,0.99999976,2.4115093e-07,0,0.99999976
miss_m_ja,1.0,3.4758707e-09,0,1.0
__monarchy___,0.99999976,2.5129282e-07,0,0.99999976
samira7272,8.4015134e-08,0.9999999,1,0.9999999
kolahkhood1,1.0,3.7246008e-09,0,1.0
iranianking1985,1.0,4.6340856e-09,0,1.0
is_alfe,0.99999964,3.5591563e-07,0,0.99999964
irane___khasteh,1.0,3.2685765e-08,0,1.0
missfarah55,0.9999999,1.1484997e-07,0,0.9999999
warathumanity,1.0,2.1338953e-09,0,1.0
dirozpirozpiroz,1.0,2.0939485e-08,0,1.0
persianmanx,0.9999995,5.36306e-07,0,0.9999995
arubarzans35930,0.99999976,1.9124316e-07,0,0.99999976
azadhordis,0.9999999,7.257506e-08,0,0.9999999
pinokio366754,0.9999993,7.4801324e-07,0,0.9999993
medij472shah,1.0,2.505705e-10,0,1.0
ehsaaan93,0.99999905,9.679482e-07,0,0.99999905
lilalismom,0.9999999,7.036229e-08,0,0.9999999
hannah86872721,9.185463e-07,0.99999905,1,0.99999905
gharybeashena,0.99999976,1.9831278e-07,0,0.99999976
letsgobrando45,3.387876e-08,1.0,1,1.0
beyg2000,1.0,3.555248e-08,0,1.0
hamedma80381096,1.0,6.5996426e-09,0,1.0
00nietzsche,6.245094e-07,0.9999994,1,0.9999994
melina0000z,1.0,2.2078117e-11,0,1.0
drdayy25957,1.0,5.867317e-08,0,1.0
guitasharifi,1.0,7.936462e-09,0,1.0
azadi_iran1400,1.0,5.1543463e-09,0,1.0
mahsa_m02,1.0,2.2542823e-08,0,1.0
imaginelord,0.9999999,7.485999e-08,0,0.9999999
artemis546438,0.99999917,7.875317e-07,0,0.99999917
lionandsun22,1.0,5.392716e-11,0,1.0
rasa1666696,1.0,4.799079e-08,0,1.0
ayhan_shms59379,8.988577e-07,0.99999905,1,0.99999905
kavesarbaz,1.0,3.5117905e-12,0,1.0
antikarma94,1.0,9.056155e-09,0,1.0
menofsteel2022,5.386762e-08,1.0,1,1.0
devilbazi,1.0,1.12980195e-10,0,1.0
mehran05836997,1.0,7.179671e-09,0,1.0
jjtoji,0.9999994,6.4627943e-07,0,0.9999994
we_r_d_street,0.9999999,1.3528917e-07,0,0.9999999
lyyyllaaa,1.0,2.1941453e-09,0,1.0
aljon_66,1.0,6.408408e-11,0,1.0
shahab863806,1.0,1.4998144e-09,0,1.0
setayesh1526370,0.9999999,1.5319223e-07,0,0.9999999
azadyiran4968,0.9999993,7.67486e-07,0,0.9999993
ghabletoofan,1.0,4.0573847e-09,0,1.0
sohrabast4,0.99999964,3.9065682e-07,0,0.99999964
zara65495138,1.0,2.7215547e-08,0,1.0
biiikherd57,1.0,7.898614e-10,0,1.0
kianakbarian,1.0,5.004657e-11,0,1.0
ashi_mashi_cr7,1.0,3.5012103e-08,0,1.0
yasna25iran,0.9999995,4.431503e-07,0,0.9999995
aban9p,0.99999964,3.8444404e-07,0,0.99999964
kavehzahmatkesh,0.99999976,2.4792573e-07,0,0.99999976
ayatollahozmaan,0.99999976,2.813375e-07,0,0.99999976
efeutree,1.0,8.750459e-10,0,1.0
moj64393416,0.9999999,5.972731e-08,0,0.9999999
morezzzzzzzz,1.0,3.6527488e-09,0,1.0
tehranzionist,1.0,1.4302869e-09,0,1.0
saye_original,0.9999995,4.1961428e-07,0,0.9999995
esarhaddo0n,1.0,4.5692575e-10,0,1.0
kingrezaiii,1.0,4.8894304e-12,0,1.0
mehdi22475096,1.0,1.4245695e-09,0,1.0
rad608722021703,1.0,6.9674617e-09,0,1.0
faezeh_96,1.0,1.0669593e-09,0,1.0
sssddddttttt,0.9999994,6.0137467e-07,0,0.9999994
davoodirooni191,0.9999999,1.7774e-07,0,0.9999999
braveheart77720,1.0,3.1292714e-08,0,1.0
hotep24254,1.0,1.075904e-09,0,1.0
lastf0rvist,1.0,1.3225224e-08,0,1.0
babak171735,1.0,1.4134167e-08,0,1.0
amn_amyn,1.0,1.5719574e-12,0,1.0
irano_1984,1.0,3.1174338e-12,0,1.0
foroogh2020,0.99999917,8.835621e-07,0,0.99999917
farshidkarimip,0.99999917,8.6619076e-07,0,0.99999917
peymanroshana1,1.0,3.791172e-09,0,1.0
jombi007,1.0,7.771605e-10,0,1.0
bluestar_021,0.9999999,8.7283475e-08,0,0.9999999
boy38912857,5.9418827e-08,1.0,1,1.0
lessanalgaib,1.0,6.278985e-14,0,1.0
dhqabbaniq8,1.0,2.7223996e-09,0,1.0
ebr46624,1.0,3.3848754e-10,0,1.0
mst45672589,4.2527378e-07,0.9999995,1,0.9999995
sadaf221113,0.9999999,1.4176142e-07,0,0.9999999
nickam5976,1.0,3.7370676e-13,0,1.0
misanthropgirl,0.99999976,2.2008048e-07,0,0.99999976
eiffel_org,1.0,7.258389e-09,0,1.0
anahitaira19369,0.99999964,3.0000467e-07,0,0.99999964
hhfp1357,0.9999999,7.260884e-08,0,0.9999999
officialsiasi,0.9999994,6.452522e-07,0,0.9999994
nimary571,1.0,1.1276276e-10,0,1.0
iamnocapa,1.0,6.1024436e-11,0,1.0
nsrly1198341,1.0,8.012512e-09,0,1.0
mehrganfreeiran,1.0,1.45605155e-08,0,1.0
shila37910803,0.99999917,8.598009e-07,0,0.99999917
tegiskkeold,1.0,1.7238992e-10,0,1.0
amadeus6201791,0.99999905,9.83601e-07,0,0.99999905
mehman7171,0.9999994,5.6912523e-07,0,0.9999994
koohi1976,0.9999999,1.4139417e-07,0,0.9999999
mahi_lu2020,1.0,6.3716765e-10,0,1.0
abowl2025,1.0,2.0670107e-10,0,1.0
iranianbm,0.99999976,2.6137025e-07,0,0.99999976
mihanparast1340,0.99999917,8.3294714e-07,0,0.99999917
psrajawat07,1.0,1.9897993e-08,0,1.0
elsa22498951731,1.0,5.722157e-09,0,1.0
goddesofhope,1.0,9.281682e-11,0,1.0
asabani_am,1.0,2.5010627e-11,0,1.0
sarkarishahram,1.0,4.555293e-09,0,1.0
raadpouya,1.0,1.1345971e-08,0,1.0
tarannom1401,1.0,8.1571916e-11,0,1.0
rm2023_,0.9999999,8.0701845e-08,0,0.9999999
kfarhadpour,1.0,1.3719517e-08,0,1.0
otukengokturk41,1.0,2.1966805e-11,0,1.0
vahidre13179381,1.0,1.5065154e-08,0,1.0
fat_kob98447,1.0,2.1171879e-13,0,1.0
zenoc_oshits,1.3786933e-08,1.0,1,1.0
bleeding_edge_w,0.99999976,1.8334568e-07,0,0.99999976
navidafkari145,1.0,1.5080277e-08,0,1.0
2_farzandiran,0.9999999,7.1956315e-08,0,0.9999999
ccbb25500950644,1.0,2.9653805e-08,0,1.0
mortazmort48561,1.0,2.7810508e-08,0,1.0
mahunalex8771,1.0,1.9036131e-10,0,1.0
amynynasr,0.9999999,1.2031823e-07,0,0.9999999
longshadow97803,1.0,5.222965e-14,0,1.0
irandokht2583,0.9999995,4.7574744e-07,0,0.9999995
im940879,1.0,2.6649397e-10,0,1.0
missnyc212,0.99999917,7.8651243e-07,0,0.99999917
zohrehir,0.99999976,2.4988978e-07,0,0.99999976
infiniite_space,1.0,3.5465717e-08,0,1.0
harpercami80992,1.0,2.9848723e-12,0,1.0
siamakya51771,0.9999999,1.3090012e-07,0,0.9999999
libertyiran1,5.1541133e-07,0.9999995,1,0.9999995
46_yazdan,1.0,3.0218894e-12,0,1.0
masssuicide57,0.99999917,8.6540797e-07,0,0.99999917
aidamakvandi,1.0,3.4710627e-08,0,1.0
gggg259212,1.0,2.0936291e-08,0,1.0
canuckian2024,0.9999999,1.2812917e-07,0,0.9999999
majidazmashhd,0.9999994,5.6422635e-07,0,0.9999994
maznazli119294,0.9999999,1.7194407e-07,0,0.9999999
kottletsaz,0.99999964,3.4670668e-07,0,0.99999964
pers_oral_histo,0.99999905,9.675236e-07,0,0.99999905
persianfuriosa,1.0,5.996734e-13,0,1.0
dkhtr92024,1.0,4.150087e-09,0,1.0
raptor_1991p,1.0,2.3415165e-09,0,1.0
wanderlustmim,0.9999993,7.231749e-07,0,0.9999993
lincho98,0.9999999,1.5580022e-07,0,0.9999999
zimmermann__0,1.0,2.8198448e-08,0,1.0
kyarashkyayy,1.0,1.2089409e-08,0,1.0
cityzen_cane,1.0,5.6211857e-09,0,1.0
kaveh_irann,0.99999976,1.9324189e-07,0,0.99999976
arezouhayati,0.9999999,1.5115285e-07,0,0.9999999
aaazzaaddiii,1.0,1.2558463e-08,0,1.0
farrah72691415,1.0,2.1046855e-10,0,1.0
an00sha1991,1.6755543e-07,0.9999999,1,0.9999999
pa202014,0.9999999,1.18021006e-07,0,0.9999999
sepidbamda98393,5.716662e-08,1.0,1,1.0
sazemokhaalef,1.0,1.512049e-11,0,1.0
6ohlxisk6aagx5z,1.0,4.941549e-08,0,1.0
saranaz990355,1.0,2.5141883e-10,0,1.0
neko80_m,1.0,7.935917e-09,0,1.0
3orkh,0.99999964,4.1512376e-07,0,0.99999964
trash_ghasem,1.0,8.017388e-13,0,1.0
kasiiiiit69,0.9999999,1.1580816e-07,0,0.9999999
mahoor_sh_zad,1.0,2.3430622e-09,0,1.0
just_a_guy0909,1.0,2.1068303e-10,0,1.0
shfayymhdy49958,1.0,1.623398e-12,0,1.0
senator1269,0.9999999,7.5699084e-08,0,0.9999999
sheykhpakdaman2,0.9999995,5.0013824e-07,0,0.9999995
arashesarafraz,1.0,2.4206743e-12,0,1.0
shahyadir,1.0,7.2090915e-09,0,1.0
arashs34301,0.9999999,1.6147922e-07,0,0.9999999
isyan65385352,1.0,1.620039e-08,0,1.0
archer2218,0.99999964,3.876633e-07,0,0.99999964
iran7willbefree,0.9999999,6.610026e-08,0,0.9999999
ariyaeiarn94293,1.0,4.2574946e-15,0,1.0
mrracebannon,4.9801736e-07,0.9999995,1,0.9999995
stevensongs,3.0067406e-07,0.99999964,1,0.99999964
night_ghoghnos,0.9999995,5.1573534e-07,0,0.9999995
hamedshahmorad,1.0,8.36973e-09,0,1.0
kazhehh,1.0,2.3894676e-08,0,1.0
ghoghnoos_79,0.9999995,4.3780412e-07,0,0.9999995
mulan_2023,0.99999976,2.4033497e-07,0,0.99999976
farkhannikkar,1.0,6.7853057e-10,0,1.0
siavash39420291,1.0,1.9392331e-11,0,1.0
thesedelights,1.0,2.7550486e-08,0,1.0
hfarbod56221,0.9999999,8.488461e-08,0,0.9999999
w_of_g,1.0,7.920281e-09,0,1.0
marg_nadare,1.0,1.5956712e-08,0,1.0
afreydoon,0.9999995,5.056449e-07,0,0.9999995
ppscobar04,1.0,6.998955e-11,0,1.0
mehr5l,1.0,1.1303451e-10,0,1.0
tangsir192757,1.0,1.9230102e-09,0,1.0
orangryyy,1.0,5.5536014e-12,0,1.0
abulfath2,5.068984e-11,1.0,1,1.0
titan1397,1.0,2.4476454e-11,0,1.0
chitsanewsh,1.0,4.4928976e-09,0,1.0
nobody_1359,1.0,6.4812555e-10,0,1.0
nadershah2650,1.0,1.1640755e-09,0,1.0
ayra1387,0.9999999,1.3492183e-07,0,0.9999999
anna72356891,0.9999994,5.936569e-07,0,0.9999994
mootin77,1.0,7.163732e-10,0,1.0
kaman_geer,1.0,1.6042829e-12,0,1.0
wsoulwanderer,0.99999905,9.984122e-07,0,0.99999905
omidam_abani,1.0,1.4578522e-08,0,1.0
12_artin54328,0.99999964,3.7814826e-07,0,0.99999964
kati98489288028,1.0,1.938085e-09,0,1.0
carpediemtop,1.0,3.9597987e-09,0,1.0
realfuckingnig4,1.0,1.3438807e-10,0,1.0
hda1922,1.3863331e-07,0.9999999,1,0.9999999
3paye79,1.0,2.8244633e-08,0,1.0
ayatollahkafsad,0.9999995,4.529408e-07,0,0.9999995
realroronoaaa,0.99999976,2.443778e-07,0,0.99999976
aliiroonii,0.9999994,5.951648e-07,0,0.9999994
koocheziba,1.0,2.0516382e-09,0,1.0
parvanenik5,9.416265e-07,0.99999905,1,0.99999905
nita_nadi,1.0,3.26295e-09,0,1.0
rohitmishra2024,0.9999995,4.2540196e-07,0,0.9999995
pirooz03361555,0.9999999,1.5042507e-07,0,0.9999999
omidvan,1.0,2.0159314e-13,0,1.0
yasminkhoz,1.0,1.1346794e-08,0,1.0
nazere_bozorg,0.9999995,4.197896e-07,0,0.9999995
moongoddesss74,1.0,1.895134e-08,0,1.0
mahsa_374,1.0,1.0053047e-08,0,1.0
pinklilies64,1.0,6.8401673e-10,0,1.0
pink__saraa,1.0,2.1319618e-10,0,1.0
persian9044,1.0,1.8017159e-11,0,1.0
today_with_sun,1.0,7.517901e-10,0,1.0
anvarbera,1.0,1.0634744e-10,0,1.0
saharakh85,1.0,1.3910864e-09,0,1.0
yohoo2020,0.9999999,1.3044725e-07,0,0.9999999
jkhodaeifar,0.9999999,1.0041591e-07,0,0.9999999
qscefbyjm,0.99999964,3.9106686e-07,0,0.99999964
jwtriplex2,1.0,5.918139e-09,0,1.0
qaranfil22,0.99999905,9.818615e-07,0,0.99999905
nina8597,8.042155e-07,0.99999917,1,0.99999917
saffsepid,1.0,8.8419e-09,0,1.0
johanneserwineu,1.0,3.8904746e-09,0,1.0
samansawaki2,1.0,5.0236387e-08,0,1.0
sarvazadi0,1.0,5.232114e-08,0,1.0
mahsalegacy,1.0,1.3699105e-14,0,1.0
be_name_vatan,0.99999976,2.3769769e-07,0,0.99999976
pahlavion,1.0,1.2160958e-09,0,1.0
saulgoo68115950,1.0,2.4341338e-08,0,1.0
create_cod87944,1.0,3.6326032e-11,0,1.0
siavash_mihan2,1.0,1.6194551e-08,0,1.0
newseason869,0.99999976,2.4500366e-07,0,0.99999976
iranianmunich,1.0,2.5068345e-09,0,1.0
shahram11938714,1.0,1.38485525e-08,0,1.0
mgeramophonev,0.99999976,1.8144065e-07,0,0.99999976
mohamma77827548,0.9999995,4.806398e-07,0,0.9999995
netsayeh83111,1.0,2.0358597e-08,0,1.0
pejhvak021,0.99999964,3.139986e-07,0,0.99999964
arshia1985,1.0,3.04019e-10,0,1.0
rojanazadi2,1.0,5.504556e-11,0,1.0
rajuhawlader01,1.0,3.1999747e-08,0,1.0
anon99101,1.0,4.3092052e-13,0,1.0
_phoenixirani,1.0,1.7222141e-09,0,1.0
ahorama77813212,0.99999905,9.241538e-07,0,0.99999905
chinvad19020,0.99999976,2.399539e-07,0,0.99999976
simin_dokht_25,8.6989445e-07,0.99999917,1,0.99999917
khersesaavak,1.0,1.7821483e-08,0,1.0
skysthe78715472,0.99999905,9.0043125e-07,0,0.99999905
washtimesoped,6.585003e-07,0.9999993,1,0.9999993
pedarzhept,0.99999976,2.1454954e-07,0,0.99999976
azadehehsan84,1.0,3.298796e-08,0,1.0
f14tomecat,1.0,4.606792e-13,0,1.0
zoe80473441,1.0,5.290599e-08,0,1.0
aanabil251919,0.99999917,8.483208e-07,0,0.99999917
golrokh1403,1.0,3.9654807e-10,0,1.0
sepah_sardar,1.0,4.562607e-16,0,1.0
otanesblog,1.0,2.5967205e-17,0,1.0
bigboy31415,1.0,6.283367e-11,0,1.0
jjshikani,0.9999999,1.307459e-07,0,0.9999999
anahita19862,0.9999999,1.01472345e-07,0,0.9999999
vectorpancho,1.0,4.7468935e-13,0,1.0
fatemehkhajouie,1.0,1.5658262e-08,0,1.0
persianland7,4.7955467e-07,0.9999995,1,0.9999995
persianlionesss,0.99999905,9.627971e-07,0,0.99999905
calliope_zm,1.0,8.214799e-09,0,1.0
khdasyd72643,1.0,7.211116e-12,0,1.0
iranmylove2018,1.0,5.528588e-11,0,1.0
naserclash3,1.0,6.291549e-10,0,1.0
pahlaviomid,0.99999976,2.147737e-07,0,0.99999976
revenge__ir,1.0,1.9708953e-11,0,1.0
golihita5765,0.99999905,9.4463786e-07,0,0.99999905
arya546706arya,1.0,1.434213e-12,0,1.0
shahnader2128,1.0,4.4351367e-09,0,1.0
javid_rezashah,0.9999999,1.5423332e-07,0,0.9999999
khaloohalou,0.9999999,1.3843514e-07,0,0.9999999
shaerteghan,0.9999999,7.3487016e-08,0,0.9999999
korosh_farzand,1.0,1.5130206e-08,0,1.0
koramdinn,1.0,8.558473e-10,0,1.0
bama_bn89934,1.0,1.6734421e-12,0,1.0
_rastakhiz_,0.9999994,5.866399e-07,0,0.9999994
leyloonrp,0.99999976,2.3005627e-07,0,0.99999976
azad_o_raha7,1.0,1.6308581e-09,0,1.0
shayannaderi81,0.9999999,1.5939806e-07,0,0.9999999
familenadershah,1.0,6.766025e-17,0,1.0
dosteiran,1.0,4.534157e-14,0,1.0
javidshahiranam,1.0,1.1808169e-11,0,1.0
wolf__wstreet,1.0,8.028038e-13,0,1.0
amirdorostkar3,0.9999995,4.5802827e-07,0,0.9999995
312_alee,1.0,6.841439e-12,0,1.0
azad2561,1.0,2.898456e-08,0,1.0
tehranshah5,1.0,7.8050775e-09,0,1.0
mobarez1663629,0.9999995,4.7918167e-07,0,0.9999995
gol6e6,1.0,7.890321e-09,0,1.0
kingssoldier16,0.99999976,2.5131177e-07,0,0.99999976
chris_hazelnut,1.0,1.9816987e-11,0,1.0
dwlgrd173113,1.0,2.0111732e-09,0,1.0
irnfre2,0.99999976,2.9473907e-07,0,0.99999976
_alire7a_,4.449658e-07,0.9999995,1,0.9999995
zahrabiari,1.0,4.141436e-09,0,1.0
diyako3341,0.99999964,3.1598302e-07,0,0.99999964
mazaloot,1.0,9.223752e-09,0,1.0
ribosomical,1.0,8.822442e-09,0,1.0
grandmama98,1.0,5.887557e-10,0,1.0
tele12827,1.0,4.984556e-11,0,1.0
shabrooz32,1.0,2.6410834e-08,0,1.0
khamenei_mafool,1.0,5.6350875e-09,0,1.0
mehrshaadxxx,1.0,1.3923332e-10,0,1.0
parvaneha63758,1.0,2.2858916e-10,0,1.0
nstar6985,1.0,2.686302e-10,0,1.0
doktareshakira,1.0,1.8964484e-10,0,1.0
shinshinnaaa,8.425116e-09,1.0,1,1.0
shahi2019,1.0,3.4901406e-09,0,1.0
mardaviich2,1.0,2.4064442e-09,0,1.0
shared2022,0.9999999,7.456757e-08,0,0.9999999
dastezamane,1.0,3.6974722e-08,0,1.0
phoenix19191126,1.0,8.6247753e-10,0,1.0
meteorite_0,1.0,1.47295935e-08,0,1.0
mahdiresearch64,1.0,1.4971999e-08,0,1.0
davood_david_,0.9999994,5.8486125e-07,0,0.9999994
koroshkabyr,1.0,3.8374837e-10,0,1.0
avatasamuel,1.0,2.996465e-11,0,1.0
officer_donny,0.99999964,3.1077013e-07,0,0.99999964
akhoondbutcher,1.0,5.7247875e-13,0,1.0
ariari01ariari,1.0,8.845999e-09,0,1.0
jeey_mary,1.0,3.7975328e-13,0,1.0
shahkhoban,0.9999994,6.506306e-07,0,0.9999994
aghabozorg01,0.9999995,4.752758e-07,0,0.9999995
cybersavak,1.0,1.3259422e-08,0,1.0
rghadiany,1.0,2.1924562e-08,0,1.0
drachenfutter78,1.0,2.19691e-08,0,1.0
khayammg,1.0,4.978255e-08,0,1.0
pahlavi03,0.9999999,1.2484514e-07,0,0.9999999
babakr16311,1.0,1.0278815e-08,0,1.0
rezapars,1.0,5.261179e-10,0,1.0
iraniankingreza,1.0,3.1035663e-10,0,1.0
saniiisani64316,1.0,1.6323129e-11,0,1.0
wewillsaveiran1,0.99999976,2.9016292e-07,0,0.99999976
ardeshir2025,0.9999999,6.521028e-08,0,0.9999999
insight2583,1.0,3.3877274e-08,0,1.0
donpablo_1234,1.0,3.952474e-08,0,1.0
w5koiwrjgup0nwh,0.9999999,1.5903258e-07,0,0.9999999
bamshad_pahnfar,1.0,5.3961913e-12,0,1.0
nikunammohammad,1.0,6.3663346e-09,0,1.0
saeedhalvaii,1.0,9.876388e-13,0,1.0
yavarkafar,1.0,9.9068115e-11,0,1.0
haditorkmalek62,0.9999999,1.1781229e-07,0,0.9999999
yektaaa22,1.0,3.123704e-14,0,1.0
engelab1401,1.0,2.1603764e-08,0,1.0
dariushsh24896,1.0,2.6994096e-10,0,1.0
javadkhaki_ir,1.0,9.949337e-12,0,1.0
irez85,1.0,1.4674092e-09,0,1.0
taranehabadan,0.9999999,1.08664786e-07,0,0.9999999
farahhhiran,1.0,2.8400307e-09,0,1.0
shaahiinnn,0.9999999,1.2786708e-07,0,0.9999999
qkrmy91969,1.0,5.6847353e-09,0,1.0
iranzerohour,0.99999964,3.3367937e-07,0,0.99999964
taxi8s,0.9999999,1.3563825e-07,0,0.9999999
khakhamene8617,0.9999994,5.753569e-07,0,0.9999994
mobedzal28592,0.9999995,4.7671847e-07,0,0.9999995
ariobarzan29569,1.0,1.1991598e-12,0,1.0
ato3a8000757729,1.0,1.30902355e-11,0,1.0
palang_souratee,1.0,1.222146e-13,0,1.0
mehrad_69,1.0,4.725951e-10,0,1.0
lionandsunarmy,1.0,6.866621e-11,0,1.0
kami32831913,1.0,1.394514e-08,0,1.0
armanasw,1.0,2.6994947e-08,0,1.0
nasrin_arabi,1.0,3.1849954e-08,0,1.0
abban98192288,0.99999976,2.6537737e-07,0,0.99999976
roshanfekri78,1.0,2.8034455e-08,0,1.0
bob_saginowskii,0.9999999,1.0429859e-07,0,0.9999999
janvaljaan,1.0,8.3694165e-15,0,1.0
lind83171583,1.0,6.329642e-11,0,1.0
espandiar_2nd,1.0,3.9166306e-09,0,1.0
mootaareez,0.9999999,6.344675e-08,0,0.9999999
babak4976365423,1.0,2.626287e-10,0,1.0
aieryanem,0.9999999,1.0273135e-07,0,0.9999999
iranlian027,1.0,1.09152065e-08,0,1.0
solgoli237,0.9999999,1.2527606e-07,0,0.9999999
a200x200,1.0,9.041846e-13,0,1.0
rezakha_n,0.99999976,2.859552e-07,0,0.99999976
taks78381,1.0,2.7589042e-11,0,1.0
mrszsrm,1.0,1.1316492e-08,0,1.0
kimiakhat,1.0,2.028113e-11,0,1.0
shm9384396334,0.99999976,2.1041161e-07,0,0.99999976
patriot_apranik,0.99999905,9.660826e-07,0,0.99999905
youaintfin63529,0.99999964,4.0461006e-07,0,0.99999964
aghavali2173,0.9999995,5.167077e-07,0,0.9999995
harlogen_jnr,0.9999999,1.1996786e-07,0,0.9999999
cha94425,1.0,2.8272877e-08,0,1.0
iranazadi15,1.0,9.670687e-09,0,1.0
warrior_arrow,0.99999964,3.7822616e-07,0,0.99999964
szo936,1.0,3.5324291e-15,0,1.0
goghnous,1.0,2.4564814e-10,0,1.0
rebel871209994,1.0,9.560053e-11,0,1.0
rezav1526,1.0,5.365144e-09,0,1.0
__excuse_me_sir,1.0,2.8971237e-12,0,1.0
lionfromiran,0.99999976,1.8272931e-07,0,0.99999976
asibilu99564,1.0,1.4830148e-08,0,1.0
azad20242508,1.0,1.9410233e-08,0,1.0
farzadadazraf,0.99999964,3.955129e-07,0,0.99999964
maoz69,1.0,1.1111907e-12,0,1.0
bpichgah,1.0,1.4705817e-08,0,1.0
savak_55,0.99999976,2.7259765e-07,0,0.99999976
fakher_2583,1.0,2.490431e-09,0,1.0
roohaam94711,1.0,1.2340096e-10,0,1.0
siyavash2001,1.0,6.5102013e-09,0,1.0
phonix541,0.99999976,2.1595015e-07,0,0.99999976
sarbazrezashah,1.0,4.3637763e-10,0,1.0
irandokht_60,1.0,5.4565253e-14,0,1.0
shadoneh66,1.0,3.7947128e-11,0,1.0
tiamshir,0.99999976,2.2360872e-07,0,0.99999976
answer2history2,1.0,1.4349676e-13,0,1.0
ahm18486,1.0,1.0894013e-08,0,1.0
heshmaikel,1.0,4.8952632e-08,0,1.0
hj_adamskhersi,1.0,2.5169005e-09,0,1.0
moshikoshi7,0.99999976,2.2868495e-07,0,0.99999976
fucksalavati,1.0,9.201993e-10,0,1.0
bemola__khastam,1.0,6.288415e-11,0,1.0
kourochmehriran,1.0,1.0635971e-08,0,1.0
rezio0,1.0,4.9885218e-15,0,1.0
khorshidzagros,0.9999999,6.4657534e-08,0,0.9999999
alahazratehomay,0.9999999,1.5105961e-07,0,0.9999999
